OR10x250-0.25_1.dat OR10x250-0.25_2.dat OR10x250-0.25_3.dat OR10x250-0.25_4.dat OR10x250-0.25_5.dat 
56622 56078 55977 57918 55152 
56507 56637 54574 58076 55592 
56214 56703 53691 56771 55040 
57533 55298 54964 59095 55953 
56357 55738 55763 57909 55427 
56480 55392 52562 58842 55170 
56466 55336 55277 58733 55520 
56891 56384 54926 58788 54880 
56500 55080 55128 57509 54398 
56403 55899 55350 58130 54814 
56452 55637 55340 58873 55397 
57782 56644 55256 57285 54399 
55746 55472 55771 58030 54882 
56743 55993 55875 58280 55082 
57319 56143 54810 57877 55225 
55956 56416 53840 57782 55042 
56387 56626 55614 58122 56033 
57000 56626 54920 57496 54846 
56928 56046 55737 59047 54088 
55291 55595 54103 57702 55605 
56751 56036 56165 58366 55331 
56300 56125 55455 58649 55318 
56448 56398 54725 58060 54455 
55750 56997 55675 57834 54902 
56855 56699 55261 57344 54811 
