OR10x250-0.25_1.dat OR10x250-0.25_2.dat OR10x250-0.25_3.dat OR10x250-0.25_4.dat OR10x250-0.25_5.dat 
59164 58685 58086 60937 58092 
59187 58658 58034 60937 58092 
59187 58685 58040 60937 58092 
59164 58685 58086 60937 58006 
59139 58685 58021 60937 58092 
59187 58656 58033 60937 58092 
59164 58651 58036 61000 57996 
59182 58656 58033 60917 57997 
59166 58651 58033 60937 58025 
59187 58685 58056 60937 58019 
59164 58658 58056 60937 58092 
59187 58656 58032 60937 58092 
59187 58663 58086 60937 58025 
59164 58693 58056 60937 58031 
59187 58658 58039 60937 58009 
59187 58685 58071 60937 58009 
59187 58685 58056 60989 58010 
59159 58651 58056 60937 58092 
59164 58685 58086 60977 58092 
59187 58685 58086 60989 58006 
59187 58658 58056 60977 58031 
59164 58685 58086 60972 58092 
59187 58663 58056 60937 58092 
59164 58659 58086 60937 58092 
59187 58685 58036 60937 58092 
