OR10x250-0.25_1.dat OR10x250-0.25_2.dat OR10x250-0.25_3.dat OR10x250-0.25_4.dat OR10x250-0.25_5.dat 
58941 58502 57813 60761 57601 
58978 58485 57762 60556 57695 
58748 58424 57932 60946 57626 
59037 58336 57819 60753 57652 
58772 58529 57885 60741 57575 
58689 58506 57942 60787 57546 
58809 58583 57731 60697 57504 
58884 58651 57905 60722 57657 
58837 58443 57752 60731 57574 
58818 58605 57891 60905 57776 
58928 58425 57729 60631 57729 
58884 58545 57964 60703 57354 
59026 58443 57899 60711 57509 
59111 58441 57871 60681 57401 
58886 58541 57812 60833 57414 
58820 58450 57942 60666 57654 
58733 58567 57625 60725 57744 
58787 58414 57836 60671 57686 
58807 58532 57961 60850 57605 
58956 58488 57762 60790 57618 
58949 58473 57890 60665 57573 
58917 58471 57837 60754 57532 
58731 58497 57887 60760 57463 
58864 58412 57966 60685 57604 
58677 58493 57943 60721 57708 
