OR10x250-0.25_1.dat OR10x250-0.25_2.dat OR10x250-0.25_3.dat OR10x250-0.25_4.dat OR10x250-0.25_5.dat 
59111 58656 57991 60937 58092 
59187 58651 57995 60917 57872 
59120 58685 57995 60917 57993 
59127 58651 57991 60878 57900 
59137 58685 57995 60917 57964 
59074 58625 57992 60893 57982 
59155 58600 57961 60906 57958 
59127 58638 58024 60906 57949 
59133 58600 57991 60917 57971 
59187 58614 58055 60878 57827 
59164 58600 57995 60937 57857 
59187 58605 57992 60872 57990 
59127 58663 58033 60901 58025 
59106 58659 58033 60917 57939 
59164 58656 58036 60901 57915 
59187 58656 57955 60937 57960 
59113 58685 57995 60934 57936 
59127 58600 57971 60872 58034 
59164 58640 58014 60922 57974 
59187 58651 58003 60906 57947 
59187 58651 57992 60872 57964 
59127 58685 57992 60876 57877 
59133 58656 57992 60917 57932 
59120 58598 58024 60934 57958 
59187 58599 58033 60935 58005 
